LLKey,IssueDate,StartDate,EndDate,CertificateNumber,Fee,NPOName,Event,LicenseClass,SubClass,Description,AddrStreet,AddrZip,Location
300001,1999/04/30 04:00:00+00,1999/05/08 04:00:00+00,1999/05/09 04:00:00+00,5682,25,SELT'S SOCIAL CLUB,STEELWORKERS UNION HALL LOCAL #2610,LS,BWL,"Beer, Wine, & Liquor",550 DUNDALK AVE,21224,550 DUNDALK AVE 21224
300002,2000/02/14 05:00:00+00,2000/03/11 05:00:00+00,2000/03/12 05:00:00+00,6122,25,MARYLAND ART PLACE/ 14 KT CABARET,MARYLAND ART PLACE,WS,BW,Beer & Wines,218 W. SARATOGA ST.,21201,218 W. SARATOGA ST. 21201
300003,2000/05/12 04:00:00+00,2000/05/17 04:00:00+00,2000/05/18 04:00:00+00,6283,25,"MARYLAND ART PLACE, INC./14K CABARET",MARYLAND ART PLACE,WS,BW,Beer & Wines,218 W SARATOGA ST,21201,218 W SARATOGA ST 21201
300004,2002/06/04 04:00:00+00,2002/06/11 04:00:00+00,2002/06/16 04:00:00+00,356,125,OUR LADY OF POMPEI CHURCH,OUR LADY OF POMPEI SCHOOL FIELD,WS,BW,Beer & Wines,CLAREMONT & GRUNDY,21224,CLAREMONT & GRUNDY 21224
300005,1996/02/27 05:00:00+00,1996/03/09 05:00:00+00,1996/03/10 05:00:00+00,3655,25,OUR LADY OF POMPEI CHURCH,SCHOOL GYMNASIUM,WS,BW,Beer & Wines,201 S. CONKLING STREET,21224,201 S. CONKLING STREET 21224
300006,1997/05/27 04:00:00+00,1997/06/04 04:00:00+00,1997/06/05 04:00:00+00,4594,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300007,1997/05/27 04:00:00+00,1997/06/18 04:00:00+00,1997/06/19 04:00:00+00,4595,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300008,1997/05/27 04:00:00+00,1997/06/25 04:00:00+00,1997/06/26 04:00:00+00,4596,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES TEMPLE,21210,4900 N. CHARLES TEMPLE 21210
300009,1997/05/27 04:00:00+00,1997/07/02 04:00:00+00,1997/07/03 04:00:00+00,4597,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300010,1997/05/27 04:00:00+00,1997/07/09 04:00:00+00,1997/07/10 04:00:00+00,4598,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300011,1997/05/27 04:00:00+00,1997/07/16 04:00:00+00,1997/07/17 04:00:00+00,4599,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300012,1997/05/27 04:00:00+00,1997/07/23 04:00:00+00,1997/07/24 04:00:00+00,4600,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
